"[1] ""Stanford University""","""Stanford"""
"[2] ""University of California, Berkeley""","""ucb"", ""berkeley"", ""uc berkeley"" ,""UCBerkeley"""
"[3] ""Harvard University""","""Harvard"""
"[4] ""University of Washington""","""University Of Washington"", ""U Of Washington"",""u washington"""
"[5] ""Johns Hopkins University""","""Hopkins"", ""JHU"""
"[6] ""University of Chicago""","""University of Chicago"", ""UChicago"", ""U of Chicago "",""u chicago"""
"[9] ""Carnegie Mellon University""","""CMU"", ""carnegie"", ""mellon"""
"[10] ""Duke University""","""Duke"""
"[11] ""University of Pennsylvania""","""UPenn"", ""university of pennsylvania"", ""U Penn"""
"[14] ""University of Wisconsin, Madison""","""of wisconsin"", ""uw madison"", ""UW-Madison"",""wisconsin-madison"""
"[15] ""North Carolina State University""","""north carolina state university"", ""ncsu"", ""nc state"",""north carolina state"""
"[16] ""Texas A&M University""","""college station"" , ""tamu"", ""a&m"""
"[18] ""University of Michigan""","""ann arbor"", ""umich"", ""of michigan"""
"[19] ""Iowa State University""","""isu"", ""iowa state"" "
"[20] ""Columbia University""","""columbia"""
"[21] ""Pennsylvania State University""","""psu"", ""pennsylvania state"" ,""penn state"""
"[22] ""University of Minnesota, Twin Cities""","""umn"", ""twin cities"", ""university of minnesota"" "
"[23] ""University of North Carolina, Chapel Hill""","""chapel hil"", ""unc"""
"[24] ""Cornell University""","""cornell"""
"[25] ""Purdue University""","""west lafayette"" ,""purdue"""
"[27] ""Ohio State University"""," ""ohio state"", ""ohio uiversity"" "
"[28] ""University of California, Davis""","""davis"" "
"[31] ""University of California, Los Angeles""","""UCLA"",""los angeles"""
"[33] ""University of Florida""","""of florida"",""u florida"""
"[34] ""University of Illinois at Urbana–Champaign""","""UIUC"",""urbana champaign"",""urbana-champaign"",""university of illinois"""
"[35] ""University of Iowa""","""of Iowa"",""u iowa"""
"[36] ""Yale University""","""yale"""
"[38] ""Emory University""","""emory"""
"[39] ""Florida State University""","""florida state"""
"[40] ""Rice University""","""rice"""
"[41] ""Rutgers University""","""rutgers"",""new brunswick"""
"[42] ""Brown University""","""brown"""
"[43] ""Colorado State University""","""colorado state"""
"[44] ""University of Connecticut""","""conn"""
"[46] ""University of Rochester""","""rochester"""
"[47] ""Michigan State University""","""michigan state"""
"[48] ""University of Pittsburgh""","""pitt"",""pittsburgh"""
"[49] ""Boston University""","""boston"""
"[50] ""New York University""","""nyu"", ""new york university"""
"[51] ""Northwestern University""","""northwestern"""
"[53] ""George Washington University""","""gwu"",""george washington"""
"[55] ""University of Georgia""","""UGA"", ""of georgia"""
"[56] ""University of Illinois—​Chicago ""","""illinois at chicago"""
"[57] ""University of Missouri""","""of missouri"",""Umizzou"",""missouri university"""
"[59] ""Virginia Tech""","""virginia tech"",""virginia polytechnic"",""VT"""
"[61] ""Southern Methodist University""","""Southern Methodist University"", ""SMU"""
"[62] ""University of California, Santa Barbara""","""UCSB"", ""Santa Barbara"""
"[63] ""Arizona State University""","""Arizona State"", ""ASU"""
"[64] ""Oregon State University""","""Oregon State"""
"[65] ""University of South Carolina""","""of South Carolina"", ""USC"""
"[66] ""University of Virginia""","""Of Virginia"", ""UVA"""
"[68] ""Temple University""","""Fox School of Business, Temple University"" , ""Fox"" , ""Temple University"" "
"[69] ""University of California, Riverside""","""UC Riverside"" , ""UCR"", ""U.C. Riverside"" "
"[70] ""Kansas State University""","""Kansas State University"", ""KSU"""
"[75] ""Baylor University""","""Baylor"""
University of California--San Diego,"""UCSD"",""San Diego"""
University of Texas at Austin,"""austin"""
University of Texas at Dallas,"""u of texas dallas"",""university of texas at dallas"""
University of Texas at San Antonio,"""san antonio"""
University of Texas at Arlington,"""arlington"""
University of Massachusetts Amherst,"""umass"",""amherst"""
Washington University in St. Louis,"""st. louis"",""saint louis"",""WUSTL"""
"University of California, Irvine","""irvine"""
University of Maryland,"""of maryland"", ""u maryland"""
University of Southern California,"""of southern california"""
"University of California, Santa Barbara","""santa b"""
University of New Mexico,"""of new mexico"""
University of New Hampshire,"""of new hampshire"""
South Dakota State University,"""South Dakota State"""
North Dakota State University,"""North Dakota State"""
Stony Brook University,"""stony brook"""
University of Notre Dame,"""notre dame"""
University of Kentucky,"""of kentucky"",""u kentucky"""
Georgetown University,"""georgetown"""
University of California--Santa Cruz,"""santa cruz"",""UCSC"""
University of Arizona,"""of arizona"""
University of South Florida,"""of florida"""
